Device IP,TransactionID,Transaction Time,Location,Type,Purpose,Amount Spikes,Debited Amt,Credited Amt,Total Amt
10.20.30.45,TXN786579303,2016-01-01 09:30:00,Koramangala,Credit,Salary,No,0,50000,75000
172.19.8.90,TXN911514914,2016-01-03 16:25:17,Koramangala,Debit,Entertainment,No,3161,0,71839
49.207.45.128,TXN773715057,2016-01-04 12:58:36,MG Road,Debit,Transport,No,425,0,71414
49.207.45.128,TXN513140753,2016-01-04 23:18:53,MG Road,Debit,Groceries,No,2071,0,69343
10.20.30.45,TXN694021782,2016-01-06 13:47:35,Jayanagar,Credit,Product Return,No,0,1663,71006
10.20.30.45,TXN873869166,2016-01-06 22:31:05,Whitefield,Credit,Cashback,No,0,835,71841
49.207.45.128,TXN465260635,2016-01-07 20:24:17,MG Road,Debit,Fuel,No,2032,0,69809
49.207.45.128,TXN587182120,2016-01-07 23:46:15,Whitefield,Debit,Fuel,No,1834,0,67975
49.207.45.128,TXN645119047,2016-01-09 09:24:17,HSR Layout,Debit,Healthcare,No,630,0,67345
172.16.10.22,TXN264109919,2016-01-09 15:05:54,Indiranagar,Debit,Food & Drink,Yes,1122,0,66223
172.19.8.90,TXN743111853,2016-01-12 07:14:52,Koramangala,Debit,Entertainment,Yes,7219,0,59004
49.207.45.128,TXN489747629,2016-01-13 12:42:17,HSR Layout,Debit,Fuel,No,1247,0,57757
192.168.1.105,TXN162196678,2016-01-15 18:23:14,Koramangala,Credit,Cashback,No,0,878,58635
49.207.45.128,TXN885879795,2016-01-16 17:10:23,Koramangala,Debit,Healthcare,No,622,0,58013
49.207.45.128,TXN237859287,2016-01-17 18:56:58,Indiranagar,Debit,Transport,No,484,0,57529
192.168.1.105,TXN666585408,2016-01-19 09:59:24,Malleshwaram,Debit,Groceries,No,2414,0,55115
10.20.30.45,TXN679064766,2016-01-19 14:47:37,Indiranagar,Credit,Refund,No,0,309,55424
49.207.45.128,TXN434702822,2016-01-22 17:36:12,Whitefield,Debit,Food & Drink,No,1685,0,53739
192.168.1.105,TXN655742829,2016-01-22 20:09:16,Indiranagar,Credit,Refund,No,0,418,54157
172.16.11.35,TXN168747287,2016-01-24 08:02:42,Indiranagar,Debit,Food & Drink,No,1416,0,52741
49.207.45.128,TXN107721109,2016-01-24 08:38:40,Koramangala,Debit,Fuel,No,1276,0,51465
192.168.1.105,TXN172370545,2016-01-27 07:46:29,HSR Layout,Debit,Groceries,No,2503,0,48962
49.207.45.128,TXN652070932,2016-01-30 16:13:41,MG Road,Debit,Transport,No,659,0,48303
49.207.45.128,TXN678998028,2016-01-31 23:14:43,MG Road,Debit,Fuel,No,854,0,47449
10.20.30.45,TXN942478695,2016-02-01 09:30:00,MG Road,Credit,Salary,No,0,51000,98449
172.16.10.22,TXN766964667,2016-02-02 18:16:59,Jayanagar,Debit,Food & Drink,No,1025,0,97424
49.207.45.128,TXN677280546,2016-02-03 07:37:30,Whitefield,Debit,Fuel,No,2291,0,95133
49.207.45.128,TXN474745382,2016-02-03 08:26:42,BTM Layout,Debit,Transport,Yes,571,0,94562
49.207.45.128,TXN406002884,2016-02-04 08:43:55,Whitefield,Debit,Fuel,No,1023,0,93539
10.20.30.45,TXN817112652,2016-02-06 15:29:20,Whitefield,Credit,Cashback,No,0,203,93742
192.168.1.105,TXN211225158,2016-02-08 07:37:47,BTM Layout,Debit,Healthcare,No,903,0,92839
172.19.8.90,TXN223940587,2016-02-09 18:07:56,Rajajinagar,Debit,Entertainment,No,1284,0,91555
49.207.45.128,TXN392431670,2016-02-10 12:42:45,Indiranagar,Debit,Transport,No,387,0,91168
10.20.30.45,TXN318610946,2016-02-12 13:16:25,Whitefield,Credit,Gift Money,No,0,1754,92922
192.168.1.105,TXN624557080,2016-02-14 07:10:24,Koramangala,Debit,Groceries,No,1897,0,91025
172.16.10.22,TXN781057736,2016-02-17 10:12:18,Whitefield,Debit,Food & Drink,No,1256,0,89769
49.207.45.128,TXN103807155,2016-02-17 21:13:55,Indiranagar,Debit,Groceries,No,1886,0,87883
49.207.45.128,TXN273497327,2016-02-18 08:54:11,MG Road,Debit,Fuel,No,2439,0,85444
49.207.45.128,TXN220123666,2016-02-18 22:10:03,Indiranagar,Debit,Fuel,No,1494,0,83950
49.207.45.128,TXN996139578,2016-02-19 07:47:20,Indiranagar,Debit,Fuel,Yes,3940,0,80010
172.19.8.90,TXN236843584,2016-02-20 13:37:38,Whitefield,Debit,Entertainment,Yes,3003,0,77007
49.207.45.128,TXN484194737,2016-02-20 22:20:59,Indiranagar,Debit,Transport,No,632,0,76375
172.16.11.35,TXN479759538,2016-02-24 23:42:45,MG Road,Debit,Food & Drink,No,1141,0,75234
49.207.45.128,TXN354194771,2016-02-26 08:00:29,BTM Layout,Credit,Cashback,No,0,291,75525
